1,176,200
4,267,297
3,375,412
2,467,494
1,539,565
4,650,685
3,772,809
2,887,915
1,983,1027
4,1120,1150
3,1218,1258
2,1317,1380
1,1511,1541
4,1603,1640
3,1710,1757
2,1820,1865
1,1918,2002
4,2105,2193
3,2308,2356
2,2499,2541
1,2664,2708
4,2773,2826
3,2935,2981
2,3087,3125
1,3198,3305
4,3422,3478
3,3581,3625
2,3682,3741
1,3844,3912
4,3980,4046
3,4172,4222
2,4316,4351
1,4421,4455
4,4561,4593
3,4712,4763
2,4869,4907
1,5009,5046
4,5095,5126
3,5178,5215
2,5268,5300
