1,222,266
2,356,396
3,546,576
4,673,723
1,833,863
2,992,1023
3,1133,1160
4,1365,1400
1,1506,1551
2,1681,1711
3,1801,1837
4,1931,1969
1,2109,2143
2,2243,2266
3,2366,2390
4,2530,2554
1,2674,2704
2,2827,2867
3,2956,2986
4,3096,3136
1,3227,3271
2,3389,3421
3,3501,3542
4,3647,3690
1,3778,3849
2,4019,4046
3,4151,4244
4,4376,4448
1,4619,4661
2,4745,4814
3,4919,4950
4,5038,5068
1,5150,5204
2,5320,5357
3,5437,5480
4,5577,5607
1,5711,5750
2,5828,5870
3,5939,6037
4,6154,6226
