1,234,258,
2,538,569,
3,819,856,
4,1085,1112,
1,1356,1383,
2,1796,1821,
3,2091,2126,
4,2436,2464,
1,2811,2844,
2,3155,3186,
3,3491,3586,
4,3856,3891,
1,4153,4187,
2,4442,4471,
3,4751,4775,
4,4992,5022,
1,5361,5393,
2,5686,5711,
3,6108,6132,
4,6403,6426,
1,6708,6738,
2,7080,7105,
3,7318,7345,
4,7595,7618,
1,7856,7887,
2,8141,8166,
3,8510,8594,
4,8814,8829,
1,9080,9102,
2,9403,9425,
3,9881,9904,
4,10095,10117,
1,10388,10411,
2,10741,10766,
3,11346,11366,
4,11577,11593,
1,11806,11834,
2,12059,12079,
3,12292,12313,
4,12501,12521,
1,12768,12793,
2,13095,13123,
3,13390,13414,
4,13604,13629,
