4,181,203
3,368,395
2,527,556
1,724,745
4,863,888
3,1115,1147
2,1237,1258
1,1468,1488
4,1618,1640
3,1750,1773
2,1996,2029
1,2225,2249
4,2466,2487
3,2680,2702
2,2834,2853
1,3004,3027
4,3272,3291
3,3533,3555
2,3737,3757
1,3959,3986
4,4102,4125
3,4296,4344
2,4471,4494
1,4642,4659
4,4940,4964
3,5085,5120
2,5263,5284
1,5378,5465
4,5677,5702
3,6043,6087
2,6317,5337
1,6487,6514
4,6753,6779
3,6875,6901
2,7035,7057
1,7295,7312
4,7529,7551
3,7732,7753
2,8069,8108
1,8226,8251
