4,230,255
3,479,509
2,755,781
1,1028,1059
4,1334,1365
3,1796,1819
2,2101,2140
1,2360,2383
4,2649,2671
3,3058,3082
2,3305,3325
1,3606,3629
4,3815,3838
3,4112,4146
2,4416,4440
1,4825,4851
4,5008,5038
3,5192,5218
2,5368,5389
1,5623,5645
4,5785,5807
3,6041,6061
2,6241,6274
1,6441,6473
4,6650,6683
3,6843,6873
2,6993,7018
1,7188,7228
4,7448,7478
3,7698,7730
2,7880,7913
1,8132,8162
4,8391,8412
3,8721,8747
2,8938,8966
1,9198,9218
4,9328,9346
3,9488,9508
2,9697,9724
1,9991,10027
