1,290,320
2,375,405
3,470,524
4,645,685
1,788,844
2,914,1027
3,1084,1144
4,1224,1298
1,1496,1536
2,1586,1694
3,1824,1863
4,1945,2027
1,2105,2172
2,2228,2332
3,2421,2458
4,2552,2662
1,2784,2843
2,2929,2980
3,3126,3172
4,3250,3280
1,3390,3438
2,3544,3597
3,3776,3811
4,3896,3950
1,4037,4100
2,4179,4268
3,4340,4463
4,4544,4614
1,4729,4787
2,4909,4953
3,5040,5114
4,5240,5319
1,5516,5569
2,5664,5770
3,5882,5994
4,6094,6146
1,6296,6348
2,6443,6581
3,6655,6785
4,6880,6975
