1,164,188
4,270,303
3,382,410
2,487,510
1,565,588
4,651,691
3,756,787
2,857,888
1,940,967
4,1044,1083
3,1142,1178
2,1262,1289
1,1389,1440
4,1515,1545
3,1627,1658
2,1730,1757
1,1828,1849
4,1945,1995
3,2057,2108
2,2180,2229
1,2289,2331
4,2415,2444
3,2556,2596
2,2676,2706
1,2784,2815
4,2904,2930
3,3019,3050
2,3119,3149
1,3216,3244
4,3334,3361
3,3437,3460
2,3528,3559
1,3628,3658
4,3731,3761
3,3830,3861
2,3915,3945
1,4003,4022
4,4095,4123
3,4175,4202
2,4266,4290
