1,228,278
2,377,502
3,669,782
4,919,1019
1,1084,1228
2,1449,1672
3,1817,1930
4,2059,2139
1,2223,2363
2,2485,2595
3,2753,2854
4,2977,3047
1,3243,3296
2,3489,3672
3,3853,3980
4,4099,4171
1,4291,4370
2,4559,4691
3,4806,4896
4,5057,5156
1,5329,5429
2,5559,5612
3,5762,5992
4,6092,6152
1,6213,6322
2,6505,6576
3,6696,6770
4,6922,7062
1,7143,7223
2,7493,7727
3,7821,7963
4,8039,8109
1,8195,8296
2,8418,8553
3,8715,8758
4,8978,9018
1,9083,9213
2,9293,9423
3,9630,9676
4,9738,9826
