4, 158, 190
3, 472, 541
2, 689, 760
1, 961, 1074
4, 1322, 1346
3, 1533, 1539
2, 1700, 1767
1, 1922, 1970
4, 2158, 2195
3, 2349, 2379
2, 2559, 2585
1, 2758, 2790
4, 2958, 3025
3, 3196, 3234
2, 3376, 3410
1, 3612, 3640
4, 3815, 3874
3, 4041, 4094
2, 4251, 4275
1, 4454, 4493
4, 4656, 4695
3, 4847, 4887
2, 5003, 5029
1, 5175, 5221
4, 5415, 5444
3, 5549, 5587
2, 5719, 5745
1, 5841, 5874
4, 6065, 6102
3, 6243, 6284
2, 6437, 6503
1, 6615, 6655
4, 6865, 6895
3, 7082, 7106
2, 7208, 7249
1, 7415, 7455
4, 7651, 7682
3, 7779, 7836
2, 7997, 8021
1, 8145, 8184
